number,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,body_type,mileage,engine,max_power,seats
2479,Hyundai Santro Xing GLS LPG,2010,150000,70000,LPG,Individual,Manual,Third Owner,Convertible,13.45,1086,122,5
2480,Maruti Swift Dzire VDi,2009,185000,138000,Diesel,Individual,Manual,Second Owner,Hatchback,19.3,1248,141,5
2481,Hyundai i10 Magna,2010,180000,70000,Petrol,Individual,Manual,Second Owner,MUV/SUV,20.36,1197,113,5
2482,Maruti Alto LXi,2010,160000,48000,Petrol,Individual,Manual,Second Owner,Coupe,19.7,796,58,5
2483,Ford Endeavour 3.0L 4X2 AT,2012,500000,110000,Diesel,Individual,Automatic,First Owner,Sedan,11.4,2953,339,7
2484,Maruti Swift VDI BSIV,2014,375000,88000,Diesel,Individual,Manual,Second Owner,Sedan,25.2,1248,162,5
2485,Toyota Innova 2.5 GX (Diesel) 7 Seater,2015,900000,68000,Diesel,Individual,Manual,First Owner,Van,12.99,2494,323,7
2486,Hyundai Grand i10 Sportz,2017,459999,70000,Petrol,Individual,Manual,First Owner,Coupe,18.9,1197,145,5
2487,Renault Duster 85PS Diesel RxL,2014,480000,80000,Diesel,Individual,Manual,First Owner,Coupe,20.45,1461,177,5
2488,Maruti Swift VDI,2013,320000,100000,Diesel,Individual,Manual,Third Owner,Convertible,22.9,1248,171,5
2489,Maruti Swift VDI,2013,370000,96000,Diesel,Individual,Manual,Second Owner,Sedan,22.9,1248,152,5
2490,Hyundai Santro Xing Base,2005,80000,123219,Petrol,Individual,Manual,Third Owner,Van,19.41878336,1458,200,7
2491,Maruti Zen LX,2002,75000,30000,Petrol,Individual,Manual,Third Owner,Wagon,17.3,993,93,5
2492,Maruti Ritz LDi,2016,400000,60000,Diesel,Individual,Manual,Third Owner,Hatchback,23.2,1248,172,5
2493,Honda City 1.5 GXI CVT,2005,250000,90000,Petrol,Individual,Automatic,Second Owner,Convertible,19.41878336,1458,134,7
2494,Maruti Swift VDI BSIV,2014,425000,65000,Diesel,Individual,Manual,First Owner,Van,25.2,1248,134,5
2495,Maruti Celerio ZXI,2014,325000,48000,Petrol,Individual,Manual,First Owner,Sedan,23.1,998,97,5
2496,Hyundai Grand i10 Magna,2016,350000,65300,Petrol,Individual,Manual,Second Owner,Convertible,18.9,1197,129,5
2497,Hyundai i20 1.2 Asta Dual Tone,2018,600000,40000,Petrol,Individual,Manual,First Owner,Jeep,18.6,1197,125,5
2498,Chevrolet Beat Diesel,2012,120000,60000,Diesel,Individual,Manual,Second Owner,Hatchback,25.44,936,94,5
2499,Maruti Alto K10 2010-2014 VXI,2012,200000,70000,Petrol,Individual,Manual,Second Owner,Coupe,20.92,998,114,5
2500,Maruti Alto LXi BSIII,2008,100000,70000,Petrol,Individual,Manual,Third Owner,Jeep,19.7,796,54,5
2501,Hyundai Grand i10 CRDi Asta,2014,350000,70000,Diesel,Individual,Manual,Second Owner,Convertible,24,1120,145,5
2502,Maruti Alto LXi,2006,85000,150000,Petrol,Individual,Manual,Second Owner,Sedan,19.7,796,54,5
2503,Maruti Alto K10 VXI Optional,2019,399000,10000,Petrol,Individual,Manual,First Owner,Sedan,23.95,998,98,5
2504,Hyundai Verna 1.6 CRDI,2014,580000,56000,Diesel,Individual,Manual,First Owner,MUV/SUV,22.32,1582,182,5
2505,Datsun RediGO T Option,2017,290000,30000,Petrol,Individual,Manual,First Owner,MUV/SUV,22.7,799,54,5
2506,Hyundai Grand i10 Magna,2014,380000,50000,Petrol,Individual,Manual,Second Owner,Coupe,18.9,1197,103,5
2507,Ford Figo Diesel EXI,2010,200000,120000,Diesel,Individual,Manual,First Owner,Coupe,20,1399,151,5
2508,Maruti Wagon R LXI CNG,2018,390000,40000,CNG,Individual,Manual,First Owner,MUV/SUV,26.6,998,136,5
2509,Hyundai Grand i10 1.2 Kappa Asta,2017,500000,27500,Petrol,Individual,Manual,First Owner,Van,18.9,1197,126,5
2510,Maruti Ertiga VDI,2012,520000,73000,Diesel,Individual,Manual,First Owner,Sedan,20.77,1248,153,7
2511,Maruti Swift Dzire VDI,2017,650000,75000,Diesel,Individual,Manual,First Owner,MUV/SUV,26.59,1248,135,5
2512,Renault KWID Climber 1.0 MT,2018,380000,5000,Petrol,Individual,Manual,First Owner,Coupe,23.01,999,122,5
2513,Maruti Wagon R LXI LPG BSIV,2010,275000,50000,LPG,Individual,Manual,First Owner,Hatchback,26.2,998,103,5
2514,Maruti Swift Dzire VDI,2015,520000,70000,Diesel,Individual,Manual,First Owner,Sedan,26.59,1248,135,5
2515,Maruti Swift Dzire VDI,2015,610000,60000,Diesel,Individual,Manual,First Owner,Coupe,26.59,1248,187,5
2516,Maruti Wagon R LXI,2004,85000,110000,Petrol,Individual,Manual,First Owner,Convertible,18.9,998,135,5
2517,Renault Duster 85PS Diesel RxL Optional,2013,490000,95000,Diesel,Individual,Manual,First Owner,MUV/SUV,20.46,1461,133,5
2518,Hyundai EON Era Plus,2015,229999,34000,Petrol,Individual,Manual,Second Owner,Hatchback,21.1,814,71,5
2519,Hyundai Grand i10 Sportz,2015,411000,25000,Petrol,Individual,Manual,First Owner,Van,18.9,1197,126,5
2520,Maruti Eeco CNG 5 Seater AC BSIV,2019,362000,120000,CNG,Individual,Manual,Second Owner,Sedan,21.94,1196,136,5
2521,Toyota Etios Cross 1.4L GD,2014,550000,31000,Diesel,Individual,Manual,First Owner,Convertible,23.59,1364,200,5
2522,Maruti Wagon R LXI CNG,2018,459999,70000,CNG,Individual,Manual,First Owner,Jeep,26.6,998,104,5
2523,Maruti Ritz VXi (ABS) BS IV,2011,190000,47000,Petrol,Individual,Manual,First Owner,Convertible,18.5,1197,146,5
2524,Hyundai Santro Magna AMT BSIV,2019,499000,5000,Petrol,Individual,Automatic,First Owner,Jeep,20.3,1086,141,5
2525,Maruti Eeco 7 Seater Standard BSIV,2018,358000,44000,Petrol,Individual,Manual,First Owner,Sedan,15.37,1196,100,7
2526,Toyota Etios Diesel TRD Sportivo,2012,278000,120000,Diesel,Individual,Manual,Second Owner,Jeep,23.59,1364,200,5
2527,Fiat Grande Punto EVO 1.3 Active,2014,320000,39395,Diesel,Individual,Manual,First Owner,Convertible,21.2,1248,191,5
2528,Renault Fluence 1.5,2013,580000,67000,Diesel,Individual,Manual,Second Owner,Wagon,20.4,1461,132,5
2529,Honda City VX CVT,2019,1300000,20000,Petrol,Individual,Automatic,First Owner,Jeep,17.4,1497,164,5
2530,Honda Amaze VX i-DTEC,2018,825000,40000,Diesel,Individual,Manual,First Owner,Jeep,25.8,1498,136,5
2531,Toyota Corolla AE,2004,170000,120000,Petrol,Individual,Manual,Second Owner,Van,13.4,1794,176,5
2532,Toyota Fortuner 4x4 MT,2014,1700000,80000,Diesel,Individual,Manual,Second Owner,Van,12.55,2982,330,7
2533,Hyundai Santro Sportz BSIV,2018,490000,7000,Petrol,Individual,Manual,First Owner,MUV/SUV,20.3,1086,116,5
2534,Mahindra XUV500 W4,2018,1050000,15000,Diesel,Individual,Manual,First Owner,Jeep,16,2179,269,7
2535,Chevrolet Beat LT,2016,210000,50000,Petrol,Individual,Manual,First Owner,Sedan,18.6,1199,127,5
2536,Mahindra Scorpio Intelli Hybrid S10,2016,1250000,30000,Diesel,Individual,Manual,First Owner,Sedan,15.4,2179,325,7
2537,Maruti Swift VDI,2012,320000,120000,Diesel,Individual,Manual,Second Owner,MUV/SUV,22.9,1248,182,5
2538,Chevrolet Optra Magnum 2.0 LT,2012,400000,64000,Diesel,Individual,Manual,First Owner,Van,16.52,1991,248,5
2539,Maruti Ritz VDi,2013,320000,120000,Diesel,Individual,Manual,First Owner,Convertible,23.2,1248,147,5
2540,Toyota Corolla Altis Diesel D4DG,2012,600000,85000,Diesel,Individual,Manual,First Owner,MUV/SUV,21.43,1364,193,5
2541,Maruti Alto K10 2010-2014 VXI,2012,275000,50000,Petrol,Individual,Manual,First Owner,Coupe,20.92,998,98,5
2542,Maruti Alto LXi,2009,170000,59000,Petrol,Individual,Manual,Second Owner,Sedan,19.7,796,57,5
2543,Chevrolet Beat Diesel LT,2012,155000,98000,Diesel,Individual,Manual,First Owner,MUV/SUV,25.44,936,121,5
2544,Tata Indica Vista Quadrajet LS,2012,240000,70000,Diesel,Individual,Manual,First Owner,Van,19.41878336,1458,160,7
2545,Tata Indica Vista Quadrajet LS,2012,240000,70000,Diesel,Individual,Manual,First Owner,MUV/SUV,19.41878336,1458,200,7
2546,Maruti Swift VDI BSIV,2011,320000,120000,Diesel,Individual,Manual,Second Owner,Jeep,19.41878336,1458,171,7
2547,Renault Duster 85PS Diesel RxL Plus,2015,620000,140000,Diesel,Individual,Manual,Second Owner,Hatchback,20.45,1461,140,5
2548,Hyundai Grand i10 1.2 Kappa Sportz Option,2017,530000,50000,Petrol,Individual,Manual,First Owner,Coupe,18.9,1197,112,5
2549,Toyota Etios Liva VD,2015,550000,40000,Diesel,Individual,Manual,First Owner,Convertible,23.59,1364,146,5
2550,Honda City i DTEC SV,2014,600000,90000,Diesel,Individual,Manual,First Owner,Coupe,26,1498,150,5
2551,Mahindra XUV500 W4,2014,649000,117000,Diesel,Individual,Manual,Third Owner,Wagon,15.1,2179,314,7
2552,Honda City i DTEC SV,2014,625000,90000,Diesel,Individual,Manual,First Owner,Van,26,1498,146,5
2553,Chevrolet Spark 1.0 PS,2010,125000,70000,Petrol,Individual,Manual,First Owner,Hatchback,16,995,138,5
2554,Chevrolet Tavera Neo 3 LS 9 Str BSIII,2009,305000,230000,Diesel,Individual,Manual,Second Owner,Van,13.58,2499,340,9
2555,Maruti SX4 ZXI MT BSIV Leather,2010,285000,155000,Petrol,Individual,Manual,Second Owner,Convertible,15.5,1586,230,5
2556,Tata Xenon XT EX 4X4,2015,600000,60000,Diesel,Individual,Manual,Second Owner,Wagon,13.49,2179,304,5
2557,Mahindra KUV 100 mFALCON G80 K8,2016,426000,110000,Petrol,Individual,Manual,First Owner,Van,18.15,1198,145,6
2558,Tata Indica Vista Terra 1.4 TDI,2010,180000,120000,Diesel,Individual,Manual,First Owner,Wagon,17,1405,187,5
2559,Hyundai Verna 1.6 VGT CRDi,2011,400000,100000,Diesel,Individual,Manual,Second Owner,Jeep,22.32,1582,197,5
2560,Chevrolet Beat LS,2010,120000,40000,Petrol,Individual,Manual,Second Owner,Sedan,18.6,1199,148,5
2561,Tata Manza Aura (ABS) Quadrajet BS IV,2012,300000,110000,Diesel,Individual,Manual,Second Owner,Convertible,21.12,1248,185,5
2562,Maruti Alto K10 2010-2014 VXI,2011,190000,92500,Petrol,Individual,Manual,Second Owner,Hatchback,20.92,998,89,5
2563,Maruti Alto 800 LXI,2017,310000,20000,Petrol,Individual,Manual,First Owner,Van,24.7,796,54,5
2564,Renault KWID RXL,2019,380000,15000,Petrol,Individual,Manual,First Owner,Van,25.17,799,59,5
2565,Mahindra Bolero Power Plus ZLX,2019,740000,14000,Diesel,Individual,Manual,First Owner,Jeep,16.5,1493,156,7
2566,Datsun RediGO T Option,2016,260000,35000,Petrol,Individual,Manual,First Owner,Wagon,22.7,799,59,5
2567,Maruti Alto K10 VXI,2017,320000,32000,Petrol,Individual,Manual,Second Owner,MUV/SUV,23.95,998,126,5
2568,Maruti Wagon R LXI CNG,2013,211000,90000,CNG,Individual,Manual,First Owner,MUV/SUV,26.6,998,109,5
2569,Maruti Swift Dzire VXI 1.2 BS IV,2018,650000,35000,Petrol,Individual,Manual,First Owner,Convertible,22,1197,123,5
2570,Maruti Swift Dzire VDI,2017,651000,32500,Diesel,Individual,Manual,Second Owner,Coupe,28.4,1248,170,5
2571,Maruti Alto K10 VXI AGS,2019,380000,14000,Petrol,Individual,Automatic,First Owner,Jeep,23.95,998,128,5
2572,Chevrolet Beat Diesel LT,2014,160000,70000,Diesel,Individual,Manual,Third Owner,Jeep,25.44,936,120,5
2573,Hyundai Verna VTVT 1.6 AT SX Option,2019,1270000,20000,Petrol,Individual,Automatic,First Owner,Hatchback,17,1591,159,5
2574,Maruti Wagon R Duo Lxi,2011,300000,300000,LPG,Individual,Manual,First Owner,Jeep,26.2,998,79,5
2575,Maruti Swift VDI Optional,2015,405000,100000,Diesel,Individual,Manual,First Owner,MUV/SUV,25.2,1248,155,5
2576,Mahindra XUV500 W8 2WD,2015,850000,64800,Diesel,Individual,Manual,First Owner,Jeep,15.1,2179,314,7
2577,Mahindra Bolero Power Plus ZLX,2017,680000,90000,Diesel,Individual,Manual,First Owner,Sedan,16.5,1493,144,7
2578,Hyundai Xcent 1.2 Kappa SX Option,2014,426999,80000,Petrol,Individual,Manual,First Owner,Hatchback,19.1,1197,129,5
2579,Hyundai Verna 1.4 CRDi,2015,525000,248000,Diesel,Individual,Manual,First Owner,Jeep,24.8,1396,162,5
2580,Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,1019999,60000,Diesel,Individual,Manual,Second Owner,Convertible,12.99,2494,278,7
2581,Toyota Innova 2.5 G2,2005,245000,120000,Diesel,Individual,Manual,First Owner,Sedan,12.8,2494,339,8
2582,Hyundai Elantra CRDi SX,2015,869999,120000,Diesel,Individual,Manual,First Owner,Jeep,22.7,1582,201,5
2583,Maruti Wagon R Duo Lxi,2010,160000,66444,LPG,Individual,Manual,First Owner,Coupe,26.2,998,89,5
2584,Maruti Vitara Brezza VDi Option,2016,700000,86000,Diesel,Individual,Manual,First Owner,Wagon,24.3,1248,187,5
2585,Nissan Sunny Diesel XV,2012,300000,90000,Diesel,Individual,Manual,First Owner,Convertible,21.64,1461,147,5
2586,Honda Civic 1.8 S AT,2007,175000,218463,Petrol,Individual,Automatic,First Owner,Hatchback,12.9,1799,211,5
2587,Toyota Innova 2.5 VX 8 STR,2012,960000,153000,Diesel,Individual,Manual,First Owner,Jeep,12.8,2494,319,8
2588,Mahindra Thar CRDe AC,2014,525000,70000,Diesel,Individual,Manual,Second Owner,Sedan,16.55,2498,294,6
2589,Hyundai Grand i10 CRDi Sportz,2015,345000,60000,Diesel,Individual,Manual,First Owner,MUV/SUV,24,1120,149,5
2590,Honda Amaze S i-Vtech,2015,390000,50000,Petrol,Individual,Manual,First Owner,Sedan,18,1198,131,5
2591,Datsun GO T Option BSIV,2015,275000,20000,Petrol,Individual,Manual,First Owner,Wagon,20.63,1198,99,5
2592,Chevrolet Sail 1.2 LS ABS,2014,310000,35000,Petrol,Individual,Manual,First Owner,Wagon,18.2,1199,124,5
2593,Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2017,500000,20000,Petrol,Individual,Manual,First Owner,Van,18.9,1197,111,5
2594,Chevrolet Sail Hatchback LT ABS,2013,200000,70000,Diesel,Individual,Manual,First Owner,MUV/SUV,22.1,1248,162,5
2595,Volkswagen Polo 2015-2019 1.5 TDI Highline Plus,2018,650000,53000,Diesel,Individual,Manual,First Owner,Sedan,20.14,1498,177,5
2596,Honda City i-DTEC VX,2018,1031000,60000,Diesel,Individual,Manual,First Owner,MUV/SUV,25.6,1498,142,5
2597,Hyundai EON 1.0 Era Plus,2018,330000,70000,Petrol,Individual,Manual,First Owner,Convertible,20.3,998,84,5
2598,Hyundai Santro Era,2019,399000,4000,Petrol,Individual,Manual,First Owner,Hatchback,20.3,1086,138,5
2599,Hyundai i10 Magna,2012,250000,103000,Petrol,Individual,Manual,First Owner,Coupe,20.36,1197,134,5
2600,Hyundai Grand i10 1.2 CRDi Sportz Option,2017,600000,20000,Diesel,Individual,Manual,First Owner,Coupe,24,1186,128,5
2601,Maruti Swift VDI,2013,375000,77000,Diesel,Individual,Manual,First Owner,Convertible,22.9,1248,145,5
2602,Volkswagen Vento Diesel Highline,2012,375000,90000,Diesel,Individual,Manual,First Owner,Wagon,20.54,1598,234,5
2603,Hyundai Verna 1.6 CRDi EX MT,2013,445000,87185,Diesel,Individual,Manual,Second Owner,Hatchback,22.32,1582,178,5
2604,Maruti Wagon R LXI,2003,55000,167000,Petrol,Individual,Manual,Second Owner,Sedan,18.9,998,94,5
2605,Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,611000,77000,Diesel,Individual,Manual,First Owner,Wagon,22.54,1396,161,5
2606,Hyundai Verna 1.4 CRDi,2014,459999,110000,Diesel,Individual,Manual,Second Owner,Wagon,24.8,1396,132,5
2607,Ford Fiesta EXi 1.4 TDCi Ltd,2011,275000,120000,Diesel,Individual,Manual,Second Owner,Hatchback,17.8,1399,198,5
2608,Hyundai Santro Xing GLS CNG,2011,185000,170000,CNG,Individual,Manual,First Owner,Wagon,11.88,1086,107,5
2609,Hyundai Verna 1.6 SX,2012,390000,100000,Diesel,Individual,Manual,Second Owner,Sedan,22.32,1582,220,5
2610,Chevrolet Spark 1.0 LT,2007,72000,40000,Petrol,Individual,Manual,Second Owner,Coupe,18,995,93,5
2611,Tata Indica V2 DL BSIII,2007,90000,50000,Diesel,Individual,Manual,First Owner,Wagon,17.88,1396,151,5
2612,Toyota Etios GD,2015,500000,125000,Diesel,Individual,Manual,First Owner,MUV/SUV,23.59,1364,150,5
2613,Maruti Wagon R LXI CNG,2011,200000,137000,CNG,Individual,Manual,First Owner,Van,26.2,998,92,5
2614,Mahindra XUV500 W9 BSIV,2019,1575000,18000,Diesel,Individual,Manual,First Owner,Coupe,15.1,2179,286,7
2615,Hyundai Grand i10 Sportz,2015,511000,30000,Petrol,Individual,Manual,First Owner,Sedan,18.9,1197,128,5
2616,Fiat Grande Punto 1.4 Emotion,2009,150000,55000,Petrol,Individual,Manual,First Owner,Convertible,14.6,1368,147,5
2617,Toyota Innova Crysta 2.7 GX AT 8 STR,2020,1500000,40000,Petrol,Individual,Automatic,First Owner,Van,10.75,2694,395,8
2618,Maruti Alto 800 LXI,2013,185000,80000,Petrol,Individual,Manual,Second Owner,Coupe,22.74,796,60,5
2619,Maruti Baleno Delta 1.2,2018,550000,30000,Petrol,Individual,Manual,First Owner,MUV/SUV,21.4,1197,136,5
2620,Maruti Alto K10 VXI,2017,325000,3564,Petrol,Individual,Manual,First Owner,Convertible,23.95,998,135,5
2621,Maruti Swift Dzire VDI Optional,2015,525000,80000,Diesel,Individual,Manual,First Owner,Sedan,26.59,1248,166,5
2622,Force One SX ABS 7 Seating,2018,1050000,13000,Diesel,Individual,Manual,First Owner,Convertible,17,2200,307,7
2623,Tata Indigo CS eVX,2012,300000,120000,Diesel,Individual,Manual,First Owner,Wagon,25,1396,194,5
2624,Chevrolet Beat LT,2011,120000,90000,Petrol,Individual,Manual,First Owner,Van,18.6,1199,100,5
2625,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,Hatchback,13.6,1999,284,5
2626,Lexus ES 300h,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,Wagon,22.37,2487,316,5
2627,Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,MUV/SUV,19.33,1999,275,5
2628,Tata Safari Storme EX,2015,503000,110000,Diesel,Individual,Manual,First Owner,MUV/SUV,14.1,2179,316,7
2629,Volvo XC40 D4 Inscription BSIV,2019,3800000,20000,Diesel,Individual,Automatic,First Owner,Jeep,18,1969,258,5
2630,Toyota Camry 2.5 Hybrid,2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,Coupe,19.16,2494,330,5
2631,Maruti Wagon R LXI,2013,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,Van,21.79,998,131,5
2632,Maruti Baleno Alpha 1.3,2018,740000,38817,Diesel,Dealer,Manual,First Owner,Hatchback,27.39,1248,173,5
2633,Honda Jazz VX,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,Convertible,18.2,1199,137,5
2634,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,750000,79328,Diesel,Trustmark Dealer,Manual,Second Owner,Sedan,12.99,2494,293,7
2635,Maruti Swift AMT VVT VXI,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,MUV/SUV,22,1197,113,5
2636,Toyota Etios VX,2017,625000,25538,Petrol,Trustmark Dealer,Manual,First Owner,Hatchback,16.78,1496,159,5
2637,Maruti Swift AMT ZXI,2018,600000,69779,Petrol,Dealer,Automatic,First Owner,Jeep,22,1197,112,5
2638,Hyundai Grand i10 1.2 CRDi Sportz,2017,450000,56290,Diesel,Dealer,Manual,First Owner,Jeep,24,1186,129,5
2639,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,MUV/SUV,16.78,1995,223,5
2640,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,Van,16.78,1995,249,5
2641,Honda Amaze V CVT Petrol BSIV,2019,779000,7032,Petrol,Trustmark Dealer,Automatic,First Owner,Wagon,19,1199,117,5
2642,Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,Coupe,14.3,1598,231,5
2643,Volvo V40 D3 R-Design,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,Sedan,16.8,1984,265,5
2644,Hyundai Santro Xing GLS,2011,170000,50000,Petrol,Individual,Manual,Third Owner,Sedan,17.92,1086,121,5
2645,Tata Indigo CS eLX BS IV,2010,320000,42000,Diesel,Individual,Manual,First Owner,Convertible,23.03,1396,191,5
2646,Maruti Celerio ZXI AT,2016,350000,17000,Petrol,Individual,Automatic,First Owner,Hatchback,23.1,998,100,5
2647,Maruti Swift AMT VXI,2018,500000,40000,Petrol,Individual,Automatic,First Owner,Convertible,22,1197,122,5
2648,Tata Indigo LS,2009,135000,137000,Diesel,Individual,Manual,Second Owner,Wagon,17,1405,165,5
2649,Renault KWID RXL,2018,340000,20000,Petrol,Individual,Manual,First Owner,Hatchback,25.17,799,54,5
2650,Hyundai Grand i10 Sportz,2020,330000,70000,Petrol,Individual,Manual,Second Owner,Convertible,18.9,1197,100,5
2651,Maruti SX4 Vxi BSIV,2011,350000,48756,Petrol,Individual,Manual,Second Owner,Jeep,15.5,1586,202,5
2652,Toyota Fortuner 4x2 AT,2015,1850000,30000,Diesel,Individual,Automatic,Second Owner,Hatchback,12.55,2982,378,7
2653,Hyundai Xcent 1.1 CRDi SX,2016,400000,110000,Diesel,Individual,Manual,First Owner,Coupe,24.4,1120,105,5
2654,Ford Fiesta Classic 1.4 Duratorq CLXI,2014,325000,80322,Diesel,Dealer,Manual,First Owner,Coupe,17.8,1399,195,5
2655,Mahindra Scorpio 1.99 S4,2015,1000000,35000,Diesel,Individual,Manual,First Owner,Coupe,15.4,1997,279,7
2656,Mahindra Scorpio S2 7 Seater,2017,850000,110000,Diesel,Individual,Manual,First Owner,Jeep,15.4,2523,387,7
2657,Maruti SX4 ZDI Leather,2012,350000,70000,Diesel,Individual,Manual,Second Owner,Convertible,21.5,1248,187,5
2658,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,Coupe,13.6,1999,251,5
2659,Lexus ES 300h,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,Wagon,22.37,2487,272,5
2660,Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,Jeep,19.33,1999,207,5
2661,Tata Safari Storme EX,2015,503000,110000,Diesel,Individual,Manual,First Owner,MUV/SUV,14.1,2179,287,7
2662,Volvo XC40 D4 Inscription BSIV,2019,3800000,20000,Diesel,Individual,Automatic,First Owner,MUV/SUV,18,1969,271,5
2663,Toyota Camry 2.5 Hybrid,2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,Coupe,19.16,2494,271,5
2664,Maruti Wagon R LXI,2013,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,Van,21.79,998,118,5
2665,Maruti Baleno Alpha 1.3,2018,740000,38817,Diesel,Dealer,Manual,First Owner,Jeep,27.39,1248,188,5
2666,Honda Jazz VX,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,Van,18.2,1199,111,5
2667,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,750000,79328,Diesel,Trustmark Dealer,Manual,Second Owner,MUV/SUV,12.99,2494,334,7
2668,Maruti Swift AMT VVT VXI,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,Van,22,1197,129,5
2669,Toyota Etios VX,2017,625000,25538,Petrol,Trustmark Dealer,Manual,First Owner,Convertible,16.78,1496,167,5
2670,Maruti Swift AMT ZXI,2018,600000,69779,Petrol,Dealer,Automatic,First Owner,Wagon,22,1197,127,5
2671,Hyundai Grand i10 1.2 CRDi Sportz,2017,450000,56290,Diesel,Dealer,Manual,First Owner,Van,24,1186,130,5
2672,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,Coupe,16.78,1995,282,5
2673,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,Wagon,16.78,1995,269,5
2674,Honda Amaze V CVT Petrol BSIV,2019,779000,7032,Petrol,Trustmark Dealer,Automatic,First Owner,Van,19,1199,105,5
2675,Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,Coupe,14.3,1598,196,5
2676,Volvo V40 D3 R-Design,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,Van,16.8,1984,205,5
2677,Toyota Etios GD,2012,500000,90000,Diesel,Individual,Manual,First Owner,Convertible,19.41878336,1458,190,7
2678,Honda Mobilio RS i DTEC,2015,550000,120000,Diesel,Individual,Manual,Second Owner,Hatchback,24.5,1498,147,7
2679,Tata Safari Storme VX,2015,925000,60000,Diesel,Individual,Manual,First Owner,Jeep,14,2179,338,7
2680,Mahindra Scorpio VLX AT AIRBAG BSIV,2010,509999,97000,Diesel,Individual,Automatic,Second Owner,Convertible,11.79,2179,316,8
2681,Mahindra Xylo D2,2011,250000,100000,Diesel,Individual,Manual,Second Owner,Van,13,2489,276,8
2682,Hyundai i20 Active 1.2 SX,2015,500000,36000,Petrol,Individual,Manual,First Owner,Hatchback,17.19,1197,151,5
2683,Hyundai Creta 1.4 CRDi S,2019,1050000,27000,Diesel,Individual,Manual,First Owner,Hatchback,21.38,1396,188,5
2684,Maruti Swift Dzire VDI,2014,490000,50000,Diesel,Individual,Manual,First Owner,MUV/SUV,23.4,1248,178,5
2685,Maruti Eeco 5 Seater AC BSIV,2020,415000,15000,Petrol,Individual,Manual,First Owner,Jeep,15.37,1196,132,5
2686,Maruti Alto 800 LXI Anniversary Edition,2013,190000,60000,Petrol,Individual,Manual,Second Owner,Wagon,22.74,796,55,5
2687,Maruti Swift Dzire VDI,2018,680000,120000,Diesel,Individual,Manual,First Owner,Coupe,28.4,1248,129,5
2688,Maruti Alto 800 LXI Airbag,2013,190000,60000,Petrol,Individual,Manual,Second Owner,Van,22.74,796,57,5
2689,Mahindra Scorpio 2009-2014 SLE 7S BSIV,2013,479000,173000,Diesel,Individual,Manual,First Owner,Wagon,12.05,2179,270,7
2690,Maruti Alto 800 LXI,2016,270000,60000,Petrol,Individual,Manual,Second Owner,Wagon,22.74,796,58,5
2691,Hyundai i10 Era,2008,170000,70000,Petrol,Individual,Manual,Third Owner,Coupe,19.81,1086,146,5
2692,Maruti Ciaz 1.4 Alpha,2018,764000,25000,Petrol,Individual,Manual,First Owner,Van,20.73,1373,157,5
2693,Mahindra Bolero 2011-2019 SLE,2019,710000,30000,Diesel,Individual,Manual,First Owner,Wagon,15.96,2523,354,7
2694,Maruti Alto 800 VXI,2017,310000,35000,Petrol,Individual,Manual,First Owner,Sedan,24.7,796,61,5
2695,Mahindra Bolero Power Plus SLX,2017,620000,100000,Diesel,Individual,Manual,Second Owner,Sedan,16.5,1493,141,7
2696,Hyundai EON Sportz,2017,280000,31000,Petrol,Individual,Manual,Second Owner,Jeep,21.1,814,64,5
